epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,553.721,0.99031,1.93125,1.01229,0.97614,0.90518,0.97309,0.72714,0.92024,2.32062,0.94485,0.000658333,0.000658333,0.000658333
2,1084.55,0.93802,1.09781,0.96775,0.959,0.85398,0.91665,0.62404,1.14459,2.23005,1.07524,0.00123755,0.00123755,0.00123755
3,1837.98,0.92834,0.90876,0.97711,0.97885,0.90708,0.96973,0.71233,0.94143,0.94128,1.03645,0.00172877,0.00172877,0.00172877
4,2376.56,0.90178,0.77185,0.97567,0.97308,0.95976,0.99066,0.73878,1.01432,0.74727,1.00379,0.001604,0.001604,0.001604
5,2920.04,0.85855,0.68269,0.94723,0.97118,0.96018,0.98751,0.74545,0.94517,0.71491,0.9812,0.001472,0.001472,0.001472
6,3636.28,0.83392,0.63878,0.94485,0.95976,0.94988,0.98349,0.73004,0.99377,0.71178,0.98716,0.00134,0.00134,0.00134
7,4184.06,0.83082,0.59526,0.94855,0.98666,0.98208,0.99422,0.77235,0.84855,0.53637,0.94129,0.001208,0.001208,0.001208
8,4724.45,0.76487,0.53539,0.92397,0.99271,0.99558,0.995,0.80395,0.81175,0.49312,0.94043,0.001076,0.001076,0.001076
9,5309.91,0.72255,0.49932,0.90972,0.99692,0.97788,0.99461,0.80198,0.8345,0.49233,0.91986,0.000944,0.000944,0.000944
10,5893.53,0.71721,0.45989,0.90489,0.98063,1,0.99487,0.81368,0.7687,0.45068,0.90886,0.000812,0.000812,0.000812
11,6455.31,0.6659,0.43285,0.88893,0.98563,1,0.99478,0.82668,0.76053,0.43688,0.91054,0.00068,0.00068,0.00068
